participant_id,ad_group
1,2
2,2
3,2
4,1
5,0
6,0
7,0
8,1
9,2
10,1
11,0
12,2
13,1
14,1
15,0
16,0
17,2
18,0
19,0
20,2
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,1
30,2
31,2
32,1
33,0
34,2
35,2
36,1
37,2
38,1
39,1
40,2
41,1
42,2
43,1
44,1
45,2
46,1
47,2
48,0
49,2
50,0
51,0
52,0
53,0
54,2
55,0
56,0
57,0
58,0
59,1
60,2
61,0
62,0
63,0
64,2
65,0
66,0
67,0
68,2
69,2
70,0
71,1
72,1
73,0
74,0
75,2
76,2
77,1
78,1
79,0
80,2
81,2
82,0
83,1
84,2
85,0
86,0
87,0
88,1
89,2
90,0
91,0
92,2
93,0
94,0
95,2
96,2
97,1
98,1
99,0
100,1
101,0
102,2
103,0
104,1
105,2
106,2
107,0
108,1
109,2
110,2
111,1
112,0
113,2
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,2
123,0
124,1
125,0
126,2
127,0
128,1
129,2
130,0
131,1
132,0
133,1
134,2
135,0
136,1
137,2
138,2
139,0
140,2
141,1
142,2
143,2
144,1
145,1
146,2
147,2
148,1
149,0
150,1
151,0
152,1
153,1
154,1
155,1
156,2
157,1
158,0
159,0
160,2
161,0
162,0
163,0
164,2
165,0
166,2
167,2
168,1
169,0
170,0
171,2
172,0
173,0
174,0
175,2
176,1
177,1
178,1
179,1
180,2
181,1
182,2
183,1
184,1
185,2
186,2
187,0
188,0
189,2
190,1
191,0
192,0
193,1
194,1
195,2
196,2
197,2
198,2
199,0
200,0
201,2
202,0
203,1
204,2
205,2
206,0
207,2
208,0
209,2
210,0
211,1
212,0
213,0
214,1
215,2
216,0
217,0
218,0
219,2
220,2
221,0
222,2
223,2
224,1
225,2
226,1
227,0
228,1
229,1
230,0
231,2
232,1
233,1
234,0
235,2
236,2
237,1
238,0
239,1
240,2
241,0
242,2
243,0
244,1
245,0
246,1
247,0
248,2
249,1
250,2
251,2
252,0
253,1
254,0
255,2
256,0
257,0
258,0
259,0
260,2
261,1
262,2
263,1
264,0
265,0
266,2
267,0
