participant_id,additional_doses,ad_recall,ad_emotion,trust_medical_endline,trust_government_endline,trust_pharma_endline,trust_media_endline,understand_vaccines_endline,vaccine_immunity_endline,personal_choice_endline,social_influence_endline,social_media_impact_endline,external_pressure_endline,judged_endline,bad_reaction_endline,variant_concern_endline,safety_concern_endline,conflicting_info_endline,short_term_effects_endline,long_term_effects_endline,risk_exaggerated_endline,preventive_measures_endline,access_delay_endline,incentives_help_endline,overall_view_change
3768,Yes,No,No strong feelings (neutral),5,1,3,3,5,1,5,2,4,4,5,4,5,4,3,2,5,2,1,2,3,Does not change
3086,Yes,No,NA,5,5,2,2,3,5,3,3,3,5,3,4,5,2,5,4,1,5,1,4,3,Positive
3589,Yes,No,No strong feelings (neutral),4,1,3,2,5,5,4,2,5,1,3,1,3,4,5,2,1,5,1,3,1,Does not change
1247,Yes,Yes,More confident in vaccines,5,5,5,4,2,5,1,4,2,5,2,4,3,2,2,3,1,2,2,2,4,Positive
1164,No,No,No strong feelings (neutral),3,5,3,4,5,2,3,3,2,2,3,1,1,1,3,1,2,2,1,1,1,Does not change
2016,Yes,Yes,More confident in vaccines,4,5,3,5,3,3,3,4,3,2,2,4,2,1,2,1,1,1,3,1,4,Does not change
2276,Yes,Yes,More anxious about side effects,3,4,4,4,4,4,5,5,2,1,1,2,2,2,3,4,1,1,3,3,3,Does not change
2542,Yes,Yes,More confident in vaccines,3,4,3,1,2,4,4,3,1,1,2,3,1,2,1,1,2,3,3,5,2,Does not change
2321,No,No,NA,5,2,2,2,5,4,4,5,2,3,5,4,3,3,3,1,2,3,4,3,5,Does not change
371,Yes,No,No strong feelings (neutral),4,4,3,2,1,5,3,3,3,4,3,5,1,4,4,2,2,3,3,3,4,Does not change
1073,Yes,Yes,More motivated to protect others,5,4,3,5,4,4,2,5,3,3,4,1,2,3,1,2,2,3,1,2,4,Does not change
48,Yes,No,No strong feelings (neutral),4,3,4,1,3,1,3,3,2,3,3,1,4,2,4,3,4,1,1,3,4,Does not change
2980,Yes,No,NA,5,5,1,4,5,3,4,4,1,4,4,4,2,1,2,4,3,2,1,4,5,Does not change
2850,No,No,No strong feelings (neutral),1,5,4,5,5,5,2,3,5,1,4,1,4,2,3,3,1,2,2,3,2,Much more negative
4988,Yes,Yes,No strong feelings (neutral),4,2,2,5,4,5,4,4,4,2,2,1,3,5,4,3,3,2,2,4,3,Does not change
3616,Yes,No,NA,4,3,4,2,1,5,2,5,5,3,4,3,1,5,4,2,3,4,5,4,3,Does not change
471,Yes,No,No strong feelings (neutral),3,2,1,4,2,3,2,3,1,4,5,5,3,5,3,4,5,5,4,4,2,Positive
262,Yes,Yes,More confident in vaccines,5,2,4,5,4,4,1,5,2,1,3,3,3,1,5,3,3,1,2,1,2,Does not change
744,Yes,Yes,NA,5,5,1,1,4,5,2,1,4,2,4,3,4,1,3,5,4,2,2,5,2,Positive
47,Yes,Yes,More confident in vaccines,5,4,3,3,5,2,3,4,2,3,1,2,4,4,1,3,4,5,2,3,2,Does not change
554,No,Yes,More confident in vaccines,5,5,5,5,3,5,2,3,2,2,2,4,4,1,3,1,3,2,1,3,3,Does not change
1404,No,Yes,More motivated to protect others,5,2,5,5,4,3,2,2,4,1,2,3,1,1,1,1,3,1,2,3,2,Does not change
